title,author,publicationName,cover_date,scopus_id,cited_by_count,open_access,eid,aggregationType,affiliations,link
Analysing trends of computational urban science and data science approaches for sustainable development,Kumar D.,Computational Urban Science,2024-12-01,SCOPUS_ID:85209789532,0,True,2-s2.0-85209789532,Journal,"[{'name': 'State University of New York Albany', 'city': 'Albany', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209789532&origin=inward
A landmark federal interagency collaboration to promote data science in health care: Million Veteran Program-Computational Health Analytics for Medical Precision to Improve Outcomes Now,Justice A.C.,JAMIA Open,2024-12-01,SCOPUS_ID:85208963031,0,True,2-s2.0-85208963031,Journal,"[{'name': 'VA Connecticut Healthcare System', 'city': 'West Haven', 'country': 'United States'}, {'name': 'Yale School of Medicine', 'city': 'New Haven', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208963031&origin=inward
Regional planning: A failed or flawed project for Africa? Taking advantage of big data science on the horizon,Chirisa I.,Regional Science Policy and Practice,2024-12-01,SCOPUS_ID:85208099811,0,True,2-s2.0-85208099811,Journal,"[{'name': 'University of the Free State', 'city': 'Bloemfontein', 'country': 'South Africa'}, {'name': 'Zimbabwe Ezekiel Guti University', 'city': 'Bloemfontein', 'country': 'South Africa'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208099811&origin=inward
Data Science and Model Predictive Control:: A survey of recent advances on data-driven MPC algorithms,Morato M.M.,Journal of Process Control,2024-12-01,SCOPUS_ID:85207933325,0,False,2-s2.0-85207933325,Journal,"[{'name': 'Université Grenoble Alpes', 'city': ""Saint Martin d'Heres"", 'country': 'France'}, {'name': 'Universidade Federal de Santa Catarina', 'city': 'Florianopolis', 'country': 'Brazil'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207933325&origin=inward
Assessment of the relationship between central venous pressure waveform and the severity of tricuspid valve regurgitation using data science,Akabane S.,Scientific Reports,2024-12-01,SCOPUS_ID:85207210995,0,True,2-s2.0-85207210995,Journal,"[{'name': 'The University of Tokyo Hospital', 'city': 'Tokyo', 'country': 'Japan'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207210995&origin=inward
Data science basis and influencing factors for the evaluation of environmental safety perception in Macau parishes,Pan C.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205948328,0,True,2-s2.0-85205948328,Journal,"[{'name': 'Guangdong University of Petrochemical Technology', 'city': 'Maoming', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205948328&origin=inward
2D magnetotelluric imaging method based on visionary self-attention mechanism and data science,Luo Y.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205914471,0,True,2-s2.0-85205914471,Journal,"[{'name': 'Chengdu University of Technology', 'city': 'Chengdu', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205914471&origin=inward
Data science in sustainable entrepreneurship: A multidisciplinary field of applications,Gupta B.B.,Technological Forecasting and Social Change,2024-12-01,SCOPUS_ID:85205530243,0,False,2-s2.0-85205530243,Journal,"[{'name': 'Symbiosis Centre for Information Technology', 'city': 'Pune', 'country': 'India'}, {'name': 'Chandigarh University', 'city': 'Mohali', 'country': 'India'}, {'name': 'University of Petroleum and Energy Studies', 'city': 'Dehradun', 'country': 'India'}, {'name': 'Asia University', 'city': 'Taichung', 'country': 'Taiwan'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205530243&origin=inward
A data science framework for profit health assessment: development and validation,Zhu W.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205264616,0,True,2-s2.0-85205264616,Journal,"[{'name': 'Guangzhou Huashang College', 'city': 'Guangzhou', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205264616&origin=inward
Community-Engaged Data Science (CEDS): A Case Study of Working with Communities to Use Data to Inform Change,Olvera R.G.,Journal of Community Health,2024-12-01,SCOPUS_ID:85197920296,0,True,2-s2.0-85197920296,Journal,"[{'name': 'The Ohio State University College of Medicine', 'city': 'Columbus', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197920296&origin=inward
A data science roadmap for open science organizations engaged in early-stage drug discovery,Edfeldt K.,Nature Communications,2024-12-01,SCOPUS_ID:85197510804,3,True,2-s2.0-85197510804,Journal,"[{'name': 'Karolinska Universitetssjukhuset', 'city': 'Stockholm', 'country': 'Sweden'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197510804&origin=inward
Providing insights into health data science education through artificial intelligence,Rohani N.,BMC Medical Education,2024-12-01,SCOPUS_ID:85194128627,0,True,2-s2.0-85194128627,Journal,"[{'name': 'Edinburgh Medical School', 'city': 'Edinburgh', 'country': 'United Kingdom'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194128627&origin=inward
DAPS diagrams for defining Data Science projects,de Mast J.,Journal of Big Data,2024-12-01,SCOPUS_ID:85190285610,0,True,2-s2.0-85190285610,Journal,"[{'name': 'Universiteit van Amsterdam', 'city': 'Amsterdam', 'country': 'Netherlands'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190285610&origin=inward
A novel influence quantification model on Instagram using data science approach for targeted business advertising and better digital marketing outcomes,Kumar S.,Social Network Analysis and Mining,2024-12-01,SCOPUS_ID:85188921650,1,False,2-s2.0-85188921650,Journal,"[{'name': 'University of Delhi', 'city': 'New Delhi', 'country': 'India'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188921650&origin=inward
The ESICM datathon and the ESICM and ICMx data science strategy,Elbers P.,Intensive Care Medicine Experimental,2024-12-01,SCOPUS_ID:85187507090,0,True,2-s2.0-85187507090,Journal,"[{'name': 'Vrije Universiteit Amsterdam', 'city': 'Amsterdam', 'country': 'Netherlands'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187507090&origin=inward
"Rudi Kundini, Pamoja Kundini (RKPK): study protocol for a hybrid type 1 randomized effectiveness-implementation trial using data science and economic incentive strategies to strengthen the continuity of care among people living with HIV in Tanzania",Kadota J.L.,Trials,2024-12-01,SCOPUS_ID:85184690428,0,True,2-s2.0-85184690428,Journal,"[{'name': 'University of California, Berkeley', 'city': 'Berkeley', 'country': 'United States'}, {'name': 'University of California, San Francisco', 'city': 'San Francisco', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184690428&origin=inward
"Is Data Science Transforming Biomedical Research? Evidence, Expertise, and Experiments in COVID-19 Science",Leonelli S.,Philosophy of Science,2024-12-01,SCOPUS_ID:85181668746,0,True,2-s2.0-85181668746,Journal,"[{'name': 'University of Exeter', 'city': 'Exeter', 'country': 'United Kingdom'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181668746&origin=inward
Making up the predictable border: How bureaucracies legitimate data science techniques,Baykurt B.,New Media and Society,2024-12-01,SCOPUS_ID:85152933522,1,False,2-s2.0-85152933522,Journal,"[{'name': 'University of Massachusetts Amherst', 'city': 'Amherst', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152933522&origin=inward
"Pricing model, engagement model and firm performance: evidence from Indian data science industry",Jhamb D.,Benchmarking,2024-11-14,SCOPUS_ID:85166755402,1,False,2-s2.0-85166755402,Journal,"[{'name': 'Chitkara University, Punjab', 'city': 'Rajpura', 'country': 'India'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166755402&origin=inward
