,ID,Title,Abstract,Authors,Published Date,Updated Date,Comments,Primary Category,PDF Link,Language,author_keywords,publicationName,predicted_subject_area
0,http://arxiv.org/abs/2403.00776v1,A framework for understanding data science,"The objective of this research is to provide a framework with which the datascience community can understand, define, and develop data science as a fieldof inquiry. The framework is based on the classical reference framework(axiology, ontology, epistemology, methodology) used for 200 years to defineknowledge discovery paradigms and disciplines in the humanities, sciences,algorithms, and now data science. I augmented it for automated problem-solvingwith (methods, technology, community). The resulting data science referenceframework is used to define the data science knowledge discovery paradigm interms of the philosophy of data science addressed in previous papers and thedata science problem-solving paradigm, i.e., the data science method, and thedata science problem-solving workflow, both addressed in this paper. Theframework is a much called for unifying framework for data science as itcontains the components required to define data science. For insights to betterunderstand data science, this paper uses the framework to define the emerging,often enigmatic, data science problem-solving paradigm and workflow, and tocompare them with their well-understood scientific counterparts, scientificproblem-solving paradigm and workflow.",Michael L Brodie,2024-02-14T15:55:40Z,2024-02-14T15:55:40Z,"28 pages, 10 figures",stat.OT,http://arxiv.org/pdf/2403.00776v1,eng,,,Computer Science
1,http://arxiv.org/abs/1501.05039v1,Defining Data Science,"Data science is gaining more and more and widespread attention, but noconsensus viewpoint on what data science is has emerged. As a new science, itsobjects of study and scientific issues should not be covered by establishedsciences. Data in cyberspace have formed what we call datanature. In thepresent paper, data science is defined as the science of exploring datanature.","Yangyong Zhu, Yun Xiong",2015-01-21T02:41:55Z,2015-01-21T02:41:55Z,,cs.DB,http://arxiv.org/pdf/1501.05039v1,eng,,,Physics and Astronomy
2,http://arxiv.org/abs/2201.05852v1,Data Science in Perspective,"Data and Science has stood out in the generation of results, whether in theprojects of the scientific domain or business domain. CERN Project, ScientificInstitutes, companies like Walmart, Google, Apple, among others, need data topresent their results and make predictions in the competitive data world. Dataand Science are words that together culminated in a globally recognized termcalled Data Science. Data Science is in its initial phase, possibly being partof formal sciences and also being presented as part of applied sciences,capable of generating value and supporting decision making. Data Scienceconsiders science and, consequently, the scientific method to promote decisionmaking through data intelligence. In many cases, the application of the method(or part of it) is considered in Data Science projects in scientific domain(social sciences, bioinformatics, geospatial projects) or business domain(finance, logistic, retail), among others. In this sense, this articleaddresses the perspectives of Data Science as a multidisciplinary area,considering science and the scientific method, and its formal structure whichintegrate Statistics, Computer Science, and Business Science, also taking intoaccount Artificial Intelligence, emphasizing Machine Learning, among others.The article also deals with the perspective of applied Data Science, since DataScience is used for generating value through scientific and business projects.Data Science persona is also discussed in the article, concerning the educationof Data Science professionals and its corresponding profiles, since itsprojection changes the field of data in the world.",Rogerio Rossi,2022-01-15T13:51:12Z,2022-01-15T13:51:12Z,Information Society Conference - i-Society 2021,cs.GL,http://arxiv.org/pdf/2201.05852v1,eng,,,Computer Science
3,http://arxiv.org/abs/2007.03606v1,Data Science: A Comprehensive Overview,"The twenty-first century has ushered in the age of big data and data economy,in which data DNA, which carries important knowledge, insights and potential,has become an intrinsic constituent of all data-based organisms. An appropriateunderstanding of data DNA and its organisms relies on the new field of datascience and its keystone, analytics. Although it is widely debated whether bigdata is only hype and buzz, and data science is still in a very early phase,significant challenges and opportunities are emerging or have been inspired bythe research, innovation, business, profession, and education of data science.This paper provides a comprehensive survey and tutorial of the fundamentalaspects of data science: the evolution from data analysis to data science, thedata science concepts, a big picture of the era of data science, the majorchallenges and directions in data innovation, the nature of data analytics, newindustrialization and service opportunities in the data economy, the professionand competency of data education, and the future of data science. This articleis the first in the field to draw a comprehensive big picture, in addition tooffering rich observations, lessons and thinking about data science andanalytics.",Longbing Cao,2020-07-01T02:33:58Z,2020-07-01T02:33:58Z,,cs.CY,http://arxiv.org/pdf/2007.03606v1,eng,,,Physics and Astronomy
4,http://arxiv.org/abs/2002.05658v1,Ten Research Challenge Areas in Data Science,"Although data science builds on knowledge from computer science, mathematics,statistics, and other disciplines, data science is a unique field with manymysteries to unlock: challenging scientific questions and pressing questions ofsocietal importance. This article starts with meta-questions about data scienceas a discipline and then elaborates on ten ideas for the basis of a researchagenda for data science.",Jeannette M. Wing,2020-01-27T21:39:57Z,2020-01-27T21:39:57Z,,cs.CY,http://arxiv.org/pdf/2002.05658v1,eng,,,Medicine
5,http://arxiv.org/abs/2112.01590v3,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of  Data Science Pipelines In Theory, In-The-Small, and In-The-Large","Increasingly larger number of software systems today are including datascience components for descriptive, predictive, and prescriptive analytics. Thecollection of data science stages from acquisition, to cleaning/curation, tomodeling, and so on are referred to as data science pipelines. To facilitateresearch and practice on data science pipelines, it is essential to understandtheir nature. What are the typical stages of a data science pipeline? How arethey connected? Do the pipelines differ in the theoretical representations andthat in the practice? Today we do not fully understand these architecturalcharacteristics of data science pipelines. In this work, we present athree-pronged comprehensive study to answer this for the state-of-the-art, datascience in-the-small, and data science in-the-large. Our study analyzes threedatasets: a collection of 71 proposals for data science pipelines and relatedconcepts in theory, a collection of over 105 implementations of curated datascience pipelines from Kaggle competitions to understand data sciencein-the-small, and a collection of 21 mature data science projects from GitHubto understand data science in-the-large. Our study has led to threerepresentations of data science pipelines that capture the essence of oursubjects in theory, in-the-small, and in-the-large.","Sumon Biswas, Mohammad Wardat, Hridesh Rajan",2021-12-02T20:16:03Z,2022-02-14T17:35:39Z,,cs.SE,http://arxiv.org/pdf/2112.01590v3,eng,,,Physics and Astronomy
6,http://arxiv.org/abs/1607.00858v1,Embracing Data Science,"Statistics is running the risk of appearing irrelevant to today'sundergraduate students. Today's undergraduate students are familiar with datascience projects and they judge statistics against what they have seen.Statistics, especially at the introductory level, should take inspiration fromdata science so that the discipline is not seen as somehow lesser than datascience. This article provides a brief overview of data science, outlines ideasfor how introductory courses could take inspiration from data science, andprovides a reference to materials for developing stand-alone data sciencecourses.",Adam Loy,2016-07-04T12:40:15Z,2016-07-04T12:40:15Z,"9 pages, 1 figure",stat.OT,http://arxiv.org/pdf/1607.00858v1,eng,,,Social Sciences
7,http://arxiv.org/abs/2306.16177v3,Defining data science: a new field of inquiry,"Data science is not a science. It is a research paradigm. Its power, scope,and scale will surpass science, our most powerful research paradigm, to enableknowledge discovery and change our world. We have yet to understand and defineit, vital to realizing its potential and managing its risks. Modern datascience is in its infancy. Emerging slowly since 1962 and rapidly since 2000,it is a fundamentally new field of inquiry, one of the most active, powerful,and rapidly evolving 21st century innovations. Due to its value, power, andapplicability, it is emerging in over 40 disciplines, hundreds of researchareas, and thousands of applications. Millions of data science publicationscontain myriad definitions of data science and data science problem solving.Due to its infancy, many definitions are independent, application specific,mutually incomplete, redundant, or inconsistent, hence so is data science. Thisresearch addresses this data science multiple definitions challenge byproposing the development of coherent, unified definition based on a datascience reference framework using a data science journal for the data sciencecommunity to achieve such a definition. This paper provides candidatedefinitions for essential data science artifacts that are required to discusssuch a definition. They are based on the classical research paradigm conceptconsisting of a philosophy of data science, the data science problem solvingparadigm, and the six component data science reference framework (axiology,ontology, epistemology, methodology, methods, technology) that is a frequentlycalled for unifying framework with which to define, unify, and evolve datascience. It presents challenges for defining data science, solution approaches,i.e., means for defining data science, and their requirements and benefits asthe basis of a comprehensive solution.",Michael L Brodie,2023-06-28T12:58:42Z,2023-07-24T12:32:58Z,,cs.LG,http://arxiv.org/pdf/2306.16177v3,eng,,,Physics and Astronomy
8,http://arxiv.org/abs/2403.03387v1,Undergraduate data science education: Who has the microphone and what  are they saying?,"The presence of data science has been profound in the scientific community inalmost every discipline. An important part of the data science educationexpansion has been at the undergraduate level. We conducted a systematicliterature review to (1) specify current evidence and knowledge gaps inundergraduate data science education and (2) inform policymakers and datascience educators/practitioners about the present status of data scienceeducation research. The majority of the publications in data science educationthat met our search criteria were available open-access. Our results indicatethat data science education research lacks empirical data and reproducibility.Not all disciplines contribute equally to the field of data science education.Computer science and data science as a separate field emerge as the leadingcontributors to the literature. In contrast, fields such as statistics,mathematics, as well as other fields closely related to data science exhibit alimited presence in studies. We recommend that federal agencies and researchers1) invest in empirical data science education research; 2) diversify researchefforts to enrich the spectrum of types of studies; 3) encourage scholars inkey data science fields that are currently underrepresented in the literatureto contribute more to research and publications.","Mine Dogucu, Sinem Demirci, Harry Bendekgey, Federica Zoe Ricci, Catalina M. Medina",2024-03-06T00:49:08Z,2024-03-06T00:49:08Z,1 figure and 2 tables,stat.OT,http://arxiv.org/pdf/2403.03387v1,eng,,,Social Sciences
9,http://arxiv.org/abs/2308.04896v1,Why Data Science Projects Fail,"Data Science is a modern Data Intelligence practice, which is the core ofmany businesses and helps businesses build smart strategies around to deal withbusinesses challenges more efficiently. Data Science practice also helps inautomating business processes using the algorithm, and it has several otherbenefits, which also deliver in a non-profitable framework. In regards to datascience, three key components primarily influence the effective outcome of adata science project. Those are 1.Availability of Data 2.Algorithm 3.Processingpower or infrastructure",Balaram Panda,2023-08-08T06:45:15Z,2023-08-08T06:45:15Z,Proposed Enhanced Approach for Advancing Data Science Excellence,cs.LG,http://arxiv.org/pdf/2308.04896v1,eng,,,Social Sciences
10,http://arxiv.org/abs/2307.06896v1,Citizen Science in the European Open Science Cloud,"The European Open Science Cloud aims to make all data Findable, Accessible,Interoperable and Reusable. By far the largest community of users of theEuropean Open Science Cloud is the science-inclined public. These users need amore curated experience of open science than subject specialists, butnevertheless make very substantial research contributions in open science,especially in crowdsourced data mining, i.e. citizen science. This short,non-technical invited review presents applications of citizen science in theEuropean Open Science Cloud, with a particular focus on astrophysics andastroparticle physics.",Stephen Serjeant,2023-07-13T16:48:53Z,2023-07-13T16:48:53Z,"Published in Europhysics News, vol. 54(2), 2023, pages 20-23. 4
  pages, published version",astro-ph.IM,http://arxiv.org/pdf/2307.06896v1,eng,,,Social Sciences
11,http://arxiv.org/abs/1805.05401v1,Building Data Science Capabilities into University Data Warehouse to  Predict Graduation,"The discipline of data science emerged to combine statistical methods withcomputing. At Aalto University, Finland, we have taken first steps to bringeducational data science as a part of daily operations of ManagementInformation Services. This required changes in IT environment: we enhanced datawarehouse infrastructure with a data science lab, where we can read predictivemodel training data from data warehouse database and use the created predictivemodels in database queries. We then conducted a data science pilot with anobjective to predict students' graduation probability and time-to-degree withstudent registry data. Further ethical and legal considerations are neededbefore using predictions in daily operations of the university.","Joonas Pesonen, Anna Fomkin, Lauri Jokipii",2018-05-04T12:28:03Z,2018-05-04T12:28:03Z,EUNIS 2018,cs.CY,http://arxiv.org/pdf/1805.05401v1,eng,,,Medicine
12,http://arxiv.org/abs/2007.08087v1,Starting with data: advancing spatial data science by building and  sharing high-quality datasets,Spatial data science has emerged in recent years as an interdisciplinaryfield. This position paper discusses the importance of building and sharinghigh-quality datasets for spatial data science.,Yingjie Hu,2020-07-16T03:15:56Z,2020-07-16T03:15:56Z,,cs.CY,http://arxiv.org/pdf/2007.08087v1,eng,,,Computer Science
13,http://arxiv.org/abs/1909.04486v1,Data Science in Biomedicine,"We highlight the role of Data Science in Biomedicine. Our manuscript goesfrom the general to the particular, presenting a global definition of DataScience and showing the trend for this discipline together with the terms ofcloud computing and big data. In addition, since Data Science is mostly relatedto areas like economy or business, we describe its importance in biomedicine.Biomedical Data Science (BDS) presents the challenge of dealing with datacoming from a range of biological and medical research, focusing onmethodologies to advance the biomedical science discoveries, in aninterdisciplinary context.","Yovaninna Alarcón-Soto, Jenifer Espasandín-Domínguez, Ipek Guler, Mercedes Conde-Amboage, Francisco Gude-Sampedro, Klaus Langohr, Carmen Cadarso-Suárez, Guadalupe Gómez-Melis",2019-09-09T11:31:40Z,2019-09-09T11:31:40Z,,stat.OT,http://arxiv.org/pdf/1909.04486v1,eng,,,Computer Science
14,http://arxiv.org/abs/1610.04276v1,Perspectives on Surgical Data Science,"The availability of large amounts of data together with advances inanalytical techniques afford an opportunity to address difficult challenges inensuring that healthcare is safe, effective, efficient, patient-centered,equitable, and timely. Surgical care and training stand to tremendously gainthrough surgical data science. Herein, we discuss a few perspectives on thescope and objectives for surgical data science.","S. Swaroop Vedula, Masaru Ishii, Gregory D. Hager",2016-10-13T22:06:46Z,2016-10-13T22:06:46Z,"Workshop on Surgical Data Science, Heidelberg, Germany, June 20, 2016",cs.CY,http://arxiv.org/pdf/1610.04276v1,eng,,,Medicine
15,http://arxiv.org/abs/2006.16964v1,Data Science: Nature and Pitfalls,"Data science is creating very exciting trends as well as significantcontroversy. A critical matter for the healthy development of data science inits early stages is to deeply understand the nature of data and data science,and to discuss the various pitfalls. These important issues motivate thediscussions in this article.",Longbing Cao,2020-06-28T02:06:54Z,2020-06-28T02:06:54Z,,cs.CY,http://arxiv.org/pdf/2006.16964v1,eng,,,Medicine
16,http://arxiv.org/abs/1807.03750v1,Navigating Diverse Data Science Learning: Critical Reflections Towards  Future Practice,"Data Science is currently a popular field of science attracting expertisefrom very diverse backgrounds. Current learning practices need to acknowledgethis and adapt to it. This paper summarises some experiences relating to suchlearning approaches from teaching a postgraduate Data Science module, and drawssome learned lessons that are of relevance to others teaching Data Science.",Yehia Elkhatib,2018-07-05T21:32:18Z,2018-07-05T21:32:18Z,,cs.GL,http://arxiv.org/pdf/1807.03750v1,eng,,,Physics and Astronomy
