Subject,Count
Multidisciplinary,1088
Biochemistry,1016
Materials Science (all),907
Chemistry (all),905
Chemical Engineering (all),755
Infectious Diseases,753
Computer Science Applications,725
Electrical and Electronic Engineering,705
Computer Networks and Communications,699
Medicine (all),680
Public Health,664
Environmental and Occupational Health,664
Renewable Energy,652
Sustainability and the Environment,652
Engineering (all),635
Pharmacology,602
Organic Chemistry,599
Ecology,593
Energy Engineering and Power Technology,566
Materials Chemistry,562
Condensed Matter Physics,549
Veterinary (all),507
Molecular Biology,504
Physical and Theoretical Chemistry,483
Analytical Chemistry,481
Artificial Intelligence,475
Mechanics of Materials,459
Pharmaceutical Science,453
Polymers and Plastics,447
Mechanical Engineering,438
Behavior and Systematics,425
Evolution,425
Nuclear and High Energy Physics,425
Immunology,418
Physics and Astronomy (all),405
Food Science,398
Genetics and Molecular Biology (all),392
Drug Discovery,385
Environmental Science (all),375
Pollution,372
Environmental Engineering,369
Animal Science and Zoology,362
Education,361
Environmental Chemistry,355
Instrumentation,350
Molecular Medicine,348
Surgery,345
Software,338
Biotechnology,335
Fuel Technology,329
Information Systems,322
Catalysis,321
Plant Science,317
Computer Vision and Pattern Recognition,317
Microbiology,314
Neurology (clinical),314
Pharmacology (medical),306
Immunology and Allergy,306
Optical and Magnetic Materials,306
Electronic,306
Waste Management and Disposal,305
Civil and Structural Engineering,304
Dentistry (all),296
Policy and Law,281
Monitoring,281
Management,281
Geography,279
Planning and Development,279
Building and Construction,278
Hardware and Architecture,277
Industrial and Manufacturing Engineering,276
Oncology,276
Microbiology (medical),264
Aquatic Science,255
Gastroenterology,255
Genetics,254
Health Policy,249
Social Sciences (all),248
Engineering (miscellaneous),244
Information Systems and Management,243
Nuclear Medicine and Imaging,242
Process Chemistry and Technology,242
Radiology,242
Spectroscopy,239
Computer Science (all),229
Agricultural and Biological Sciences (all),229
Coatings and Films,226
Surfaces,226
Control and Optimization,221
Bioengineering,218
Health,212
Human-Computer Interaction,212
Pediatrics,212
Toxicology and Mutagenesis,212
Strategy and Management,211
Cancer Research,208
Endocrinology,205
Economics and Econometrics,201
Perinatology and Child Health,198
Neurology,197
Biomedical Engineering,196
Psychiatry and Mental Health,196
Safety,194
Reliability and Quality,194
Risk,194
Immunology and Microbiology (all),186
Geotechnical Engineering and Engineering Geology,186
Economics,184
Orthopedics and Sports Medicine,184
Physics and Astronomy (miscellaneous),182
Hematology,181
Inorganic Chemistry,180
Energy (all),179
Otorhinolaryngology,178
Nephrology,176
Medicine (miscellaneous),173
Cell Biology,172
Cardiology and Cardiovascular Medicine,171
Business,168
Signal Processing,168
Control and Systems Engineering,165
Biomaterials,161
Dermatology,157
and Optics,156
Atomic and Molecular Physics,156
Metals and Alloys,154
Environmental Science (miscellaneous),151
Mathematics (all),147
Virology,147
Earth and Planetary Sciences (all),146
Econometrics and Finance (all),144
Complementary and Alternative Medicine,141
Chemistry (miscellaneous),141
Computer Science (miscellaneous),141
Agronomy and Crop Science,137
Linguistics and Language,134
Water Science and Technology,133
Language and Linguistics,132
Neuroscience (all),132
Applied Microbiology and Biotechnology,132
Diabetes and Metabolism,131
Nutrition and Dietetics,130
Ophthalmology,130
Chemical Engineering (miscellaneous),129
Health (social science),128
Physiology,127
Business and International Management,127
Hepatology,126
Sociology and Political Science,126
Parasitology,123
Agricultural and Biological Sciences (miscellaneous),123
Obstetrics and Gynecology,121
Management and Accounting (all),120
Ceramics and Composites,118
Applied Mathematics,117
