title,author,publicationName,cover_date,scopus_id,cited_by_count,open_access,eid,aggregationType,affiliations,link,abstract
Analysing trends of computational urban science and data science approaches for sustainable development,Kumar D.,Computational Urban Science,2024-12-01,SCOPUS_ID:85209789532,0,True,2-s2.0-85209789532,Journal,"[{'name': 'State University of New York Albany', 'city': 'Albany', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209789532&origin=inward,"Urban computing with a data science approaches can play a pivotal role in understaning and analyzing the potential of these methods for strategic, short-term, and sustainable planning. The recent development in urban areas have progressed towards the data-driven smart sustainable approaches to resolve the complexities around urban areas. The urban system faces severe challenges and these are complicated to capture, predict, resolve and deliver. The current study advances an unconventional decision-support framework to integrate the complexities of science, urban sustainability theories, and data science, with a data-intensive science to incorporate grassroots initiatives for a top-down policies. This work will influence the urban data analytics to optimize the designs and solutions to enhance sustainability, efficiency, resilience, equity, and quality of life. This work emphasizes the significant trends of data-driven and model-driven decision support systems. This will help to address and create an optimal solution for multifaceted challenges of an urban setup within the analytical framework. The analytical investigations includes the research about land use prediction, environmental monitoring, transportation modelling, and social equity analysis. The fusion of urban computing, intelligence, and sustainability science is expected to resolve and contribute in shaping resilient, equitable, and future environmentally sensible eco-cities. It examines the emerging trends in the domain of computational urban science and data science approaches for sustainable development being utilized to address urban challenges including resource management, environmental impact, and social equity. The analysis of recent improvements and case studies highlights the potential of data-driven insights with computational models for promoting resilient sustainable urban environments, towards more effective and informed policy-making. Thus, this work explores the integration of computational urban science and data science methodologies to advance sustainable development. © The Author(s) 2024."
A landmark federal interagency collaboration to promote data science in health care: Million Veteran Program-Computational Health Analytics for Medical Precision to Improve Outcomes Now,Justice A.C.,JAMIA Open,2024-12-01,SCOPUS_ID:85208963031,0,True,2-s2.0-85208963031,Journal,"[{'name': 'VA Connecticut Healthcare System', 'city': 'West Haven', 'country': 'United States'}, {'name': 'Yale School of Medicine', 'city': 'New Haven', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208963031&origin=inward,"Objectives: In 2016, the Department of Veterans Affairs (VA) and the Department of Energy (DOE) established an Interagency Agreement (IAA), the Million Veteran Program-Computational Health Analytics for Medical Precision to Improve Outcomes Now (MVP-CHAMPION) research collaboration. Materials and Methods: Oversight fell under the VA Office of Research Development (VA ORD) and DOE headquarters. An Executive Committee and 2 senior scientific liaisons work with VA and DOE leadership to optimize efforts in the service of shared scientific goals. The program supported centralized data management and genomic analysis including creation of a scalable approach to cataloging phenotypes. Cross-cutting methods including natural language processing, image processing, and reusable code were developed. Results: The 79.6 million dollar collaboration has supported centralized data management and genomic analysis including a scalable approach to cataloging phenotypes and launched over 10 collaborative scientific projects in health conditions highly prevalent in veterans. A ground-breaking analysis on the Summit and Andes supercomputers at the Oak Ridge National Laboratory (ORNL) of the genetic underpinnings of over 2000 health conditions across 44 million genetic variants which resulted in the identification of 38 270 independent genetic variants associating with one or more health traits. Of these, over 2000 identified associations were unique to non-European ancestry. Cross-cutting methods have advanced state-of-the-art artificial intelligence (AI) including large language natural language processing and a system biology study focused on opioid addiction awarded the 2018 Gordon Bell Prize for outstanding achievement in high-performance computing. The collaboration has completed work in prostate cancer, suicide prevention, and cardiovascular disease, and cross-cutting data science. Predictive models developed in these projects are being tested for application in clinical management. Discussion: Eight new projects were launched in 2023, taking advantage of the momentum generated by the previous collaboration. A major challenge has been limitations in the scope of appropriated funds at DOE which cannot currently be used for health research. Conclusion: Extensive multidisciplinary interactions take time to establish and are essential to continued progress. New funding models for maintaining high-performance computing infrastructure at the ORNL and for supporting continued collaboration by joint VA-DOE research teams are needed. © 2024 Published by Oxford University Press on behalf of the American Medical Informatics Association."
Regional planning: A failed or flawed project for Africa? Taking advantage of big data science on the horizon,Chirisa I.,Regional Science Policy and Practice,2024-12-01,SCOPUS_ID:85208099811,0,True,2-s2.0-85208099811,Journal,"[{'name': 'University of the Free State', 'city': 'Bloemfontein', 'country': 'South Africa'}, {'name': 'Zimbabwe Ezekiel Guti University', 'city': 'Bloemfontein', 'country': 'South Africa'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208099811&origin=inward,"This paper explores regional planning as an applied field of practice in Africa, where it is observed as a failed project or a flawed endeavour. In theory, regional planning (the practice) is based on regional science (the field of study) from which regional policy and regional development flow. The article advances the argument that Africa did not benefit from regional science in the past due to data scarcity. However, with the advent of big data and the data deluge caused by big data, regional science and regional planning stand to benefit. We argue that with the proliferation of big data, Africa can now tap into its opportunities and correct its ‘ugly’ past regarding regional planning. With big data and artificial intelligence (AI)-tools, coupled with skilled and capable people, Africa can effectively mine data and catch up with global trends in urban and regional planning. The study concludes that there is a need to embrace big data and mine data for African regional science and regional planning to be successful. In addition, the African regional planning project was not a failure, but it suffered a stillbirth due to a lack of data and related infrastructure. © 2024 The Authors"
Data Science and Model Predictive Control:: A survey of recent advances on data-driven MPC algorithms,Morato M.M.,Journal of Process Control,2024-12-01,SCOPUS_ID:85207933325,0,False,2-s2.0-85207933325,Journal,"[{'name': 'Université Grenoble Alpes', 'city': ""Saint Martin d'Heres"", 'country': 'France'}, {'name': 'Universidade Federal de Santa Catarina', 'city': 'Florianopolis', 'country': 'Brazil'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207933325&origin=inward,"Model Predictive Control (MPC) is an established control framework, based on the solution of an optimisation problem to determine the (optimal) control action at each discrete-time sample. Accordingly, major theoretical advances have been provided in the literature, such as closed-loop stability and recursive feasibility certificates, for the most diverse kinds of processes descriptions. Nevertheless, identifying good, trustworthy models for complex systems is a task heavily affected by uncertainties. As of this, developing MPC algorithms directly from data has recently received a considerable amount of attention over the last couple of years. In this work, we review the available data-based MPC formulations, which range from reinforcement learning schemes, adaptive controllers, and novel solutions based on behavioural theory and trajectory representations. In particular, we examine the recent research body on this topic, highlighting the main features and capabilities of available algorithms, while also discussing the fundamental connections among approaches and, comparatively, their advantages and limitations. © 2024 Elsevier Ltd"
Assessment of the relationship between central venous pressure waveform and the severity of tricuspid valve regurgitation using data science,Akabane S.,Scientific Reports,2024-12-01,SCOPUS_ID:85207210995,0,True,2-s2.0-85207210995,Journal,"[{'name': 'The University of Tokyo Hospital', 'city': 'Tokyo', 'country': 'Japan'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207210995&origin=inward,"Purpose The relationship between the height of the V wave in the central venous pressure (CVP) waveform and the severity of tricuspid regurgitation (TR) is well known. Their diagnostic ability is unconfirmed. This study explored CVP waveform variations with TR. Methods All patients who underwent preoperative echocardiography and CVP waveform measurements before surgery at our institution were included. Indices were created to capture each feature of the CVP waveform. The median value for each case was obtained and statistically analyzed according to the severity of TR. A deep learning technique, Transformer, was used to handle the complex features of CVP waveforms. Results This study included 436 cases. The values for C wave – Y descent, X descent – Y descent, and V wave – Y descent differed significantly in the Jonckheere–Terpstra test (p = 0.0018, 0.027, and 0.077, respectively). The area under the receiver operating characteristic (ROC) curve (AUC) for X descent – Y descent in two groups, none to moderate TR and severe TR, was 0.83 (95% confidence interval (CI) [0.68, 0.98]). For Transformer, the accuracy of the validation dataset was 0.97. Conclusions The shape of the CVP waveform varied with the severity of TR in a large dataset. © The Author(s) 2024."
Data science basis and influencing factors for the evaluation of environmental safety perception in Macau parishes,Pan C.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205948328,0,True,2-s2.0-85205948328,Journal,"[{'name': 'Guangdong University of Petrochemical Technology', 'city': 'Maoming', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205948328&origin=inward,"In the context of rapid urbanization, accurately identifying the visual factors that influence environmental safety perception is crucial for improving urban transportation environments and enhancing pedestrian safety. With the increase in urban population density and traffic flow, optimizing urban environmental design to elevate residents’ sense of safety has become a key issue in urban planning and management. However, the existing studies face numerous challenges in conducting large-scale quantitative analysis of environmental safety perception in complex scenarios, such as difficulties in data acquisition and limitations in analytical methods. This study addresses these challenges by applying image semantic segmentation and object detection techniques to extract key visual elements from street view images, combined with manual scoring and deep learning methods, to construct a road safety perception dataset. Using a LightGBM model and the SHAP interpretation framework, in this study, we identify the critical visual factors influencing environmental safety perception. An empirical study was conducted in Macau, a modern city where Eastern and Western cultures intersect, and tourism thrives. The findings reveal that: ① The overall environmental safety perception in the eight parishes and surrounding roads of Macau is relatively high, with significant regional differences in safety perception scores around Macau’s parish roads; ② The proportions of buildings, sidewalks, roads, and trees in images are the four primary factors influencing environmental safety perception; ③ The proportions and quantities of visual elements interact with each other, and their reasonable distribution helps form clear spatial visibility and creates conducive activity spaces, thereby enhancing the perception of environmental safety. Through empirical analysis, this study uncovers the mechanisms by which visual elements in urban street scenes affect environmental safety perception, providing scientific evidence for urban planning and transportation environment improvement. The research holds theoretical significance and offers practical references for urban design and management, demonstrating broad application value. © The Author(s) 2024."
2D magnetotelluric imaging method based on visionary self-attention mechanism and data science,Luo Y.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205914471,0,True,2-s2.0-85205914471,Journal,"[{'name': 'Chengdu University of Technology', 'city': 'Chengdu', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205914471&origin=inward,"2D magnetotelluric (MT) imaging detects underground structures by measuring electromagnetic fields. This study tackles two issues in the field: traditional methods’ limitations due to insufficient forward modeling data, and the challenge of multiple solutions in complex scenarios. We introduce an enhanced 2D MT imaging approach with a novel self-attention mechanism, involving: 1. Generating diverse geophysical models and responses to increase data variety and volume. 2. Creating a Swin–Unet-based 2D MT Imaging network with self-attention for better modeling and relation capture, incorporating a MT sample generator using real data to lessen large-scale supervised training dependence, and refining the loss function for optimal validation. This method also includes eliminating MT background response to boost training efficiency and reduce training time. 3. Applying a transverse electric/transverse magnetic method for comprehensive 2D MT data response. Tests show that our method greatly improves 2D MT imaging’s accuracy and efficiency, with excellent generalization. © The Author(s) 2024."
Data science in sustainable entrepreneurship: A multidisciplinary field of applications,Gupta B.B.,Technological Forecasting and Social Change,2024-12-01,SCOPUS_ID:85205530243,0,False,2-s2.0-85205530243,Journal,"[{'name': 'Symbiosis Centre for Information Technology', 'city': 'Pune', 'country': 'India'}, {'name': 'Chandigarh University', 'city': 'Mohali', 'country': 'India'}, {'name': 'University of Petroleum and Energy Studies', 'city': 'Dehradun', 'country': 'India'}, {'name': 'Asia University', 'city': 'Taichung', 'country': 'Taiwan'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205530243&origin=inward,"Defined as the merging of social and environmental sustainability into corporate operations, sustainable entrepreneurship has embraced data science more and more to improve operational effectiveness and decision-making. Using statistics, machine learning, and computer science to uncover insights from challenging datasets, this interdisciplinary method blends the ideas of sustainability with sophisticated data analysis approaches. Our research supports the choice of this issue by stressing the urgent requirement of sophisticated analytical instruments to negotiate the complexity of sustainable business practices. We compare our proposed model against Logistic Regression, Feedforward Neural Networks, and Support Vector Machines (SVMs). This not only shows how better CNN models are for certain uses but also highlights the general possibilities of data science in promoting sustainability in business. Our results highlight the transforming ability of sophisticated machine learning methods in promoting informed, sustainable decision-making and supporting the more general conversation on sustainable business. © 2024 Elsevier Inc."
A data science framework for profit health assessment: development and validation,Zhu W.,Advances in Continuous and Discrete Models,2024-12-01,SCOPUS_ID:85205264616,0,True,2-s2.0-85205264616,Journal,"[{'name': 'Guangzhou Huashang College', 'city': 'Guangzhou', 'country': 'China'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205264616&origin=inward,"This study introduces a cutting-edge profit health assessment framework that merges signaling theory and agency theory within a data science context, leveraging both financial and nonfinancial indicators to provide a comprehensive, multidimensional evaluation of earnings quality in publicly traded companies. This model transcends conventional earnings management frameworks by focusing on the holistic earnings condition of firms and addressing challenges related to information asymmetry and managerial motives. The empirical analysis utilizes data from small and medium-sized private enterprises listed on China’s SME Board between 2018 and 2022, employing machine learning algorithms to rigorously validate the model’s effectiveness. The results reveal that 85.7% of the penalized firms by the China Securities Regulatory Commission from 2018 to 2023 exhibited low levels of profit health. This data science driven analysis deepens the understanding of corporate earnings health for regulators and investors. The proposed framework not only expands the theoretical underpinnings of earnings management but also serves as a novel evaluative tool for stakeholders, paving the way for broader application across diverse markets and sectors and rethinking earnings quality assessment methodologies through a data science lens. © The Author(s) 2024."
Community-Engaged Data Science (CEDS): A Case Study of Working with Communities to Use Data to Inform Change,Olvera R.G.,Journal of Community Health,2024-12-01,SCOPUS_ID:85197920296,0,True,2-s2.0-85197920296,Journal,"[{'name': 'The Ohio State University College of Medicine', 'city': 'Columbus', 'country': 'United States'}]",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197920296&origin=inward,"Data-informed decision making is a critical goal for many community-based public health research initiatives. However, community partners often encounter challenges when interacting with data. The Community-Engaged Data Science (CEDS) model offers a goal-oriented, iterative guide for communities to collaborate with research data scientists through data ambassadors. This study presents a case study of CEDS applied to research on the opioid epidemic in 18 counties in Ohio as part of the HEALing Communities Study (HCS). Data ambassadors provided a pivotal role in empowering community coalitions to translate data into action using key steps of CEDS which included: data landscapes identifying available data in the community; data action plans from logic models based on community data needs and gaps of data; data collection/sharing agreements; and data systems including portals and dashboards. Throughout the CEDS process, data ambassadors emphasized sustainable data workflows, supporting continued data engagement beyond the HCS. The implementation of CEDS in Ohio underscored the importance of relationship building, timing of implementation, understanding communities’ data preferences, and flexibility when working with communities. Researchers should consider implementing CEDS and integrating a data ambassador in community-based research to enhance community data engagement and drive data-informed interventions to improve public health outcomes. © The Author(s) 2024."
