title,author,publicationName,cover_date,scopus_id,cited_by_count,open_access
Data Science in Supporting Hotel Management: Application of Predictive Models to Booking.com Guest Evaluations,Martins A.F.,"Smart Innovation, Systems and Technologies",2024-01-01,SCOPUS_ID:85189614420,0,False
Data science Analysis Using Deep Learning Techniques in Mining Biological Data,Murala P.,"2024 International Conference on Knowledge Engineering and Communication Systems, ICKECS 2024",2024-01-01,SCOPUS_ID:85201303127,0,False
Data-science-based reconstruction of 3-D membrane pore structure using a single 2-D micrograph,Chamani H.,Journal of Membrane Science,2023-07-15,SCOPUS_ID:85153032402,8,True
Data science in sustainable entrepreneurship: A multidisciplinary field of applications,Gupta B.B.,Technological Forecasting and Social Change,2024-12-01,SCOPUS_ID:85205530243,0,False
Applying data science methodologies with artificial intelligence variant reinterpretation to map and estimate genetic disorder prevalence utilizing clinical data,Jackson S.,"American Journal of Medical Genetics, Part A",2024-05-01,SCOPUS_ID:85181219671,1,True
Special Issue “Data Science in Insurance”,Clemente G.P.,Risks,2023-05-01,SCOPUS_ID:85160242100,1,True
Increasing the collaboration of data science stakeholders with a knowledge management system,Civelek U.,Business Process Management Journal,2024-01-01,SCOPUS_ID:85208134545,0,False
"Clustering algorithms in data science: Evaluating the time and space complexities of K-means, DBSCAN, and hierarchical methods",Vybhavi G.Y.,AIP Conference Proceedings,2024-07-01,SCOPUS_ID:85198403315,0,False
Upscaling Fog Computing in Oceans for Underwater Pervasive Data Science Using Low-Cost Micro-Clouds,Dar F.,ACM Transactions on Internet of Things,2023-03-15,SCOPUS_ID:85164241978,6,False
Data Science for Social Climate Change Modelling: Emerging Technologies Review,Ustyianovych T.,Lecture Notes on Data Engineering and Communications Technologies,2024-01-01,SCOPUS_ID:85201936871,0,False
A framework for managing ethics in data science projects,Parthasarathy S.,Engineering Reports,2024-03-01,SCOPUS_ID:85164136725,0,True
Interdisciplinary Synergy: Resources for Embedding Plugged and Unplugged Computer and Data Science Activities into the K-12 Curriculum,Samaras T.,"2024 IEEE Integrated STEM Education Conference, ISEC 2024",2024-01-01,SCOPUS_ID:85205576835,0,False
Optimizing Wireline Formation Testing in Oil Wells: A Data Science approach,Abbehusen M.,ACM International Conference Proceeding Series,2023-05-29,SCOPUS_ID:85166014534,0,False
Towards the automated evaluation of product packaging in the Food&amp;Beverage sector through data science/machine learning methods,Parcesepe M.,Quality and Quantity,2023-06-01,SCOPUS_ID:85132988653,4,False
Advanced mathematical applications in data science,Mallik B.B.,Advanced Mathematical Applications in Data Science,2023-08-24,SCOPUS_ID:85194367319,1,False
"Closed-Loop Control, Artificial Intelligence-Based Decision-Support Systems, and Data Science",Nimri R.,Diabetes Technology and Therapeutics,2024-03-01,SCOPUS_ID:85186845615,0,False
Neuroinformatics Applications of Data Science and Artificial Intelligence,Dinov I.D.,Neuroinformatics,2024-10-01,SCOPUS_ID:85204704551,0,False
The Association between Childhood Obesity and Cardiovascular Changes in 10 Years Using Special Data Science Analysis,Cordeiro J.R.,Children,2023-10-01,SCOPUS_ID:85175083893,0,True
Digital twins as a unifying framework for surgical data science: the enabling role of geometric scene understanding,Ding H.,Artificial Intelligence Surgery,2024-09-01,SCOPUS_ID:85199882141,0,False
Petroleum Industry Value Chain Optimization: the Inevitability of Artificial Intelligence and Data Science in Midstream and Downstream Development,Favour D.A.,"Society of Petroleum Engineers - SPE Nigeria Annual International Conference and Exhibition, NAIC 2024",2024-01-01,SCOPUS_ID:85203105672,0,False
Exploratory data science on supercomputers for quantum mechanical calculations,Dawson W.,Electronic Structure,2024-06-01,SCOPUS_ID:85196078411,0,True
Harnessing the power of artificial intelligence and data science,Sakthivel V.,Advancement of Data Processing Methods for Artificial and Computing Intelligence,2023-12-26,SCOPUS_ID:85183782672,0,False
Cyberinfrastructure deployments on public research clouds enable accessible Environmental Data Science education,Mcintosh T.L.,PEARC 2023 - Computing for the common good: Practice and Experience in Advanced Research Computing,2023-07-23,SCOPUS_ID:85176217179,1,True
Risk Assessment of Data Science Projects: A Literature Review on Risk Identification,Holtkemper M.,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85200999981,0,False
Health consequences of disasters: Advancing disaster data science,Colf L.A.,PNAS Nexus,2024-06-01,SCOPUS_ID:85197896667,0,True
The era of business analytics: identifying and ranking the differences between business intelligence and data science from practitioners’ perspective using the Delphi method,Al-Debei M.M.,Journal of Business Analytics,2024-01-01,SCOPUS_ID:85177564601,0,False
Empirical assessment of COVID-19 infections and information diffusion: a data science approach,Nti I.K.,International Journal of Medical Engineering and Informatics,2024-01-01,SCOPUS_ID:85187101740,0,False
Industrial Data Science for Batch Manufacturing,Vallerio M.,Computer Aided Chemical Engineering,2024-01-01,SCOPUS_ID:85196865169,0,False
Exploration of data science expertise in Indonesia: Study case of industry in Jakarta metropolitan area,Surbakti F.P.S.,AIP Conference Proceedings,2023-08-08,SCOPUS_ID:85176927549,0,False
An essay on the differences and linkages between data science and information science,Ye F.Y.,Data and Information Management,2023-04-01,SCOPUS_ID:85148748126,1,True
"International Conference on Data Science, Computation and Security, IDSCS 2023",,Lecture Notes in Networks and Systems,2024-01-01,SCOPUS_ID:85197273989,0,False
Training Interdisciplinary Data Science Collaborators: A Comparative Case Study,Alzen J.L.,Journal of Statistics and Data Science Education,2024-01-01,SCOPUS_ID:85153378618,2,True
